time,x,y,z
1.479,1.40,-0.97,-1.33
1.488,2.36,-0.90,-1.02
1.497,3.59,-0.85,-0.74
1.504,3.84,-0.61,-0.56
1.513,3.84,-0.53,-0.43
1.521,3.94,-0.61,-0.45
1.530,3.59,-0.95,-0.57
1.538,3.49,-0.96,-0.40
1.548,2.80,-1.37,0.04
1.555,1.56,-1.83,0.66
1.563,0.05,-2.25,1.28
1.571,-1.68,-2.27,2.02
1.580,-1.55,-1.61,2.41
1.587,-1.46,-1.67,2.52
1.596,-0.59,-1.00,2.54
1.604,0.45,-0.06,1.58
1.613,1.14,0.47,0.41
1.621,0.72,3.57,1.04
1.630,2.07,7.13,-0.12
1.638,2.13,7.03,0.02
1.647,2.16,6.72,0.47
1.655,1.89,5.85,0.18
1.665,2.46,4.49,0.35
1.672,2.32,2.60,0.52
1.681,1.83,0.96,0.72
1.691,1.87,0.87,0.82
1.698,1.00,0.05,1.00
1.707,0.15,-0.10,1.07
1.715,0.58,-1.24,1.34
1.723,1.27,-2.32,1.42
1.733,1.67,-2.85,1.70
1.740,1.63,-2.90,1.79
1.748,2.11,-2.45,2.00
1.756,2.42,-1.37,2.40
1.765,2.61,0.18,2.27
1.773,2.75,1.54,1.95
1.782,2.78,2.81,1.87
1.789,2.71,3.89,1.30
1.798,2.57,3.86,1.34
1.815,2.24,5.80,1.08
1.816,3.74,3.53,0.31
1.824,4.03,0.42,-0.22
1.831,3.03,-1.20,-0.34
1.840,2.39,-1.47,-0.02
1.848,2.38,-1.43,-0.06
1.856,2.39,-1.05,-1.27
1.866,1.67,-1.82,-6.08
1.873,0.99,-2.01,-5.03
1.885,2.05,1.26,2.30
1.890,2.33,4.98,9.79
1.898,2.35,5.00,9.68
1.907,2.79,7.01,9.68
1.916,2.84,7.71,4.58
1.924,2.23,7.53,2.59
1.932,1.79,7.46,2.80
1.941,3.19,4.59,6.09
1.949,3.29,4.64,5.87
1.958,4.18,0.72,6.55
1.970,6.36,-7.64,7.04
1.976,7.47,-15.97,5.91
1.982,5.08,-16.27,2.47
1.993,0.61,-12.66,1.18
1.999,0.45,-12.53,1.03
2.008,-2.28,-9.40,0.58
2.016,-3.42,-8.11,0.96
2.025,-3.53,-7.57,-0.19
2.032,-3.75,-6.98,-2.19
2.042,-3.75,-5.69,-2.92
2.050,-3.91,-5.63,-2.99
2.059,-3.30,-4.11,-2.82
2.066,-2.43,-2.61,-2.02
2.075,-1.75,-1.14,-1.37
2.086,-1.61,0.43,-1.12
2.091,-0.79,1.65,-0.83
2.100,0.17,2.74,-0.70
2.108,0.22,2.74,-0.80
2.116,0.74,3.30,-0.99
2.125,0.98,3.52,-0.73
2.133,0.99,3.54,0.00
2.142,0.49,3.15,1.40
2.150,-0.01,2.29,2.10
2.159,-0.04,2.29,2.04
2.167,-0.41,1.50,3.71
2.175,-1.44,0.78,3.68
2.183,-1.81,-0.12,1.75
2.192,-1.61,-0.67,-1.08
2.211,-0.52,-0.97,-3.55
2.212,-0.53,-0.95,-3.68
2.218,0.19,-0.65,-4.50
2.227,0.91,-0.38,-3.69
2.236,1.81,-0.14,-3.03
2.243,2.39,0.08,-1.70
2.253,2.39,-0.02,-0.81
2.260,2.37,-0.01,-0.87
2.268,2.13,0.03,-1.07
2.277,1.46,-0.07,-1.23
2.286,0.84,-0.20,-0.48
2.294,0.45,-0.28,-0.13
2.305,0.01,-0.45,-0.03
2.311,-0.03,-0.45,-0.41
2.322,-0.09,-0.62,-0.38
2.327,-0.59,-1.12,-0.19
2.339,-0.89,-1.41,0.17
2.344,-1.24,-1.53,0.48
2.353,-1.49,-1.50,0.46
2.361,-1.66,-1.44,0.49
2.371,-1.72,-1.44,0.43
2.377,-2.09,-1.57,0.39
2.392,-1.95,-1.30,-0.05
2.394,-1.65,-1.30,-0.27
2.413,-2.21,-2.20,0.04
2.420,-1.88,-2.12,-1.61
2.422,-1.93,-2.12,-1.68
2.428,-1.31,-3.43,-4.34
2.437,-1.41,-4.11,-4.64
2.445,-2.21,-4.88,-4.25
2.453,-2.24,-4.85,-5.15
2.461,-2.61,-4.74,-6.11
2.469,-2.60,-4.72,-6.05
2.478,-2.59,-4.33,-6.58
2.487,-2.56,-3.61,-6.43
2.505,-2.49,-2.90,-6.17
2.507,-2.37,-2.42,-5.27
2.528,-2.01,-2.31,-4.17
2.552,-1.97,-2.30,-4.01
2.554,-0.67,-2.88,-1.86
2.555,-0.51,-2.88,-1.70
2.556,0.38,-3.53,-1.00
2.557,1.14,-4.10,-0.64
2.563,1.71,-4.48,-0.18
2.570,1.75,-4.18,0.66
2.582,1.90,-4.42,0.95
2.587,2.12,-3.83,1.40
2.597,2.56,-3.20,1.59
2.604,2.84,-2.47,1.91
2.613,3.24,-1.81,2.17
2.621,2.79,-1.33,2.68
2.630,2.83,-1.38,2.87
2.637,2.32,-0.99,2.83
2.646,1.24,-0.81,2.98
2.655,1.57,-0.24,1.19
2.680,0.96,0.31,0.61
2.684,0.19,0.01,0.78
2.687,0.23,-0.06,0.96
2.688,0.26,-0.36,1.27
2.697,0.87,-0.25,1.65
2.707,1.49,0.15,2.66
2.714,2.55,0.76,2.81
2.722,2.65,1.17,3.55
2.730,2.65,1.07,3.73
2.741,2.15,1.20,4.53
2.747,1.46,1.07,4.51
2.761,0.53,0.84,4.73
2.763,-0.42,0.56,4.32
2.775,-0.38,0.30,3.94
2.781,-0.42,0.20,4.08
2.792,1.21,1.03,4.81
2.797,1.17,0.93,4.93
2.830,2.03,1.47,5.06
2.833,2.78,1.90,5.06
2.835,3.11,2.49,5.34
2.837,3.02,2.39,5.45
2.840,2.98,3.02,5.53
2.849,2.74,3.80,5.60
2.856,2.23,4.30,5.40
2.864,2.22,4.62,5.12
2.873,2.19,4.83,4.74
2.880,2.42,4.91,4.08
2.890,2.40,4.92,4.05
2.898,2.81,5.16,3.08
2.907,3.02,4.94,1.08
2.915,4.74,1.99,-10.74
2.923,5.13,-3.19,-18.23
2.931,0.94,-4.20,-1.73
2.950,1.03,-4.22,-1.71
2.951,3.28,-2.27,11.86
2.956,2.95,-0.04,16.64
2.968,4.09,0.87,5.95
2.974,6.04,-0.59,-3.18
2.984,4.16,-2.28,0.86
2.990,4.23,-2.17,0.71
2.998,0.95,-2.23,2.47
3.006,1.32,-3.17,3.94
3.016,2.71,-4.28,2.64
3.023,2.28,-4.39,1.12
3.033,0.49,-3.61,0.96
3.040,0.52,-3.53,0.83
3.050,-0.95,-3.05,1.14
3.057,-1.76,-2.85,1.67
3.077,-1.59,-2.57,1.68
3.078,-0.83,-1.99,1.29
3.085,-0.28,-1.26,1.20
3.091,-0.27,-1.20,1.08
3.100,0.22,-0.46,0.86
3.107,0.23,-0.18,1.03
3.117,0.25,-0.18,1.65
3.124,0.56,-0.19,1.28
3.133,0.46,-0.20,1.15
3.141,0.30,-0.10,1.11
3.150,0.29,-0.05,0.98
3.161,0.17,0.17,0.73
3.166,0.10,0.13,0.55
3.178,0.29,0.04,0.04
3.183,0.19,-0.22,-0.06
3.193,-0.24,-0.68,0.57
3.199,-0.26,-0.64,0.46
3.218,-0.54,-0.94,0.93
3.220,-0.95,-1.07,1.33
3.235,-1.25,-0.87,1.63
3.237,-1.49,-0.55,1.53
3.250,-2.03,-0.11,1.07
3.252,-2.04,-0.09,0.96
3.259,-2.17,0.60,0.39
3.267,-1.37,1.07,-0.18
3.275,-0.21,1.54,-0.50
3.283,0.37,1.68,-1.10
3.292,0.92,1.56,-1.16
3.300,0.91,1.57,-1.28
3.310,1.90,1.57,-0.82
3.316,2.18,1.61,-0.93
3.327,2.25,1.41,-1.04
3.334,2.91,1.34,-1.92
3.351,2.42,1.01,-2.52
3.352,2.38,0.70,-2.17
3.371,1.00,0.61,-2.26
3.382,-0.19,0.22,-1.70
3.387,-0.60,0.01,-1.31
3.392,-0.69,-0.03,-1.10
3.393,-0.75,-0.00,-0.66
3.405,-0.67,0.12,-0.71
3.409,-0.71,0.12,-0.78
3.419,-0.56,0.14,-0.92
3.425,-0.67,-0.17,-0.51
3.435,-0.86,-0.64,0.50
3.442,-0.99,-0.95,1.21
3.451,-0.55,-0.48,1.79
3.459,-0.61,-0.48,1.73
3.468,-0.80,-0.76,1.72
3.476,-0.82,-0.99,1.67
3.484,-0.88,-1.72,1.48
3.492,-1.02,-2.70,1.38
3.501,-1.25,-3.74,-1.27
3.510,-1.31,-3.74,-1.34
3.519,-0.84,-4.97,-4.03
3.526,-1.29,-6.26,-4.13
3.535,-1.22,-6.25,-3.12
3.543,-0.83,-5.61,-4.00
3.552,-0.92,-5.07,-4.82
3.560,-0.93,-5.06,-4.79
3.569,-1.08,-4.63,-5.51
3.577,-1.19,-4.03,-6.04
3.587,-1.00,-3.25,-6.31
3.594,-0.93,-2.67,-5.88
3.603,-0.80,-2.26,-5.22
3.613,-0.77,-2.23,-4.59
3.620,-0.77,-2.23,-4.41
3.629,-0.77,-2.55,-3.67
3.636,-0.56,-2.88,-3.20
3.662,-0.04,-3.24,-2.68
3.663,0.54,-3.54,-2.26
3.664,1.03,-3.66,-1.67
3.669,1.07,-3.68,-1.46
3.677,1.35,-3.40,-0.60
3.686,1.34,-2.98,0.37
3.695,1.36,-2.44,1.30
3.703,1.74,-1.71,1.81
3.711,2.02,-1.30,2.03
3.719,2.08,-1.34,2.22
3.728,2.49,-0.83,2.78
3.736,2.41,-0.41,3.14
3.745,2.67,0.25,2.75
3.753,1.97,0.59,2.54
3.769,1.13,0.75,3.03
3.776,1.14,0.70,3.19
3.778,0.24,0.59,3.59
3.787,-0.88,0.14,1.85
3.796,-0.66,0.29,0.56
3.803,0.03,0.77,0.57
3.813,0.39,1.00,0.82
3.821,0.42,0.93,0.98
3.830,1.02,1.01,1.38
3.838,1.64,0.97,1.43
3.847,1.87,0.69,2.21
3.856,1.24,0.33,2.88
3.863,0.27,-0.15,3.25
3.871,-0.27,-0.56,3.07
3.880,-0.30,-0.66,3.23
