time,x,y,z
1.527,1.09,0.56,2.16
1.536,0.58,0.48,1.95
1.544,0.26,0.17,1.74
1.552,0.46,0.01,1.55
1.561,0.54,-0.17,1.35
1.569,0.46,-0.46,1.03
1.578,0.59,-0.89,0.65
1.586,0.52,-0.90,0.63
1.596,0.26,-1.43,-0.15
1.603,-0.27,-1.81,-1.32
1.613,-0.69,-2.32,-3.07
1.619,-0.28,-2.25,-4.50
1.628,0.76,-1.52,-4.88
1.638,0.80,-1.50,-4.81
1.646,1.54,-0.86,-4.42
1.654,1.66,-0.58,-3.86
1.662,1.88,-0.24,-3.03
1.669,2.04,0.24,-2.24
1.678,2.11,1.06,-1.69
1.686,2.14,1.06,-1.57
1.696,1.67,1.76,-1.10
1.703,1.14,2.29,-0.68
1.712,0.42,2.67,-0.26
1.720,-0.09,2.82,-0.02
1.728,-0.26,2.61,-0.02
1.737,-0.24,2.60,0.06
1.745,-0.47,2.32,-0.03
1.753,-0.53,1.82,-0.39
1.762,-0.67,1.36,-0.89
1.772,-0.73,0.86,-1.80
1.778,-0.67,0.66,-2.49
1.794,-0.65,0.65,-2.41
1.796,-0.68,0.54,-2.76
1.814,-0.67,0.45,-3.20
1.815,-0.57,0.41,-3.42
1.822,-0.63,0.53,-3.51
1.829,-0.60,0.88,-3.55
1.838,-0.84,1.02,-3.43
1.846,-0.81,1.01,-3.36
1.855,-0.70,1.21,-3.35
1.862,-0.51,1.18,-3.10
1.872,0.17,1.48,-3.12
1.879,1.09,1.67,-3.37
1.890,1.76,1.75,-3.14
1.896,1.76,1.74,-3.11
1.905,2.20,1.69,-2.34
1.913,2.86,1.11,-1.80
1.924,4.28,-0.40,-0.92
1.929,6.41,-3.69,0.93
1.939,7.89,-7.64,2.24
1.946,7.88,-7.63,2.25
1.956,7.51,-9.96,1.26
1.963,6.11,-8.24,0.80
1.972,4.82,-3.79,1.75
1.984,4.14,0.40,3.12
1.988,3.40,3.81,5.45
2.000,3.41,3.79,5.48
2.005,2.39,6.09,7.40
2.015,1.32,7.37,8.00
2.022,1.22,7.55,7.56
2.031,1.60,6.50,7.09
2.039,0.92,3.99,7.89
2.047,0.94,4.01,7.77
2.056,1.13,1.16,8.47
2.065,1.78,-1.42,8.17
2.072,1.02,-3.68,6.63
2.081,-1.17,-5.76,4.19
2.089,-4.10,-7.51,1.75
2.098,-5.25,-7.48,-0.41
2.106,-5.25,-7.45,-0.56
2.115,-4.99,-5.24,-1.19
2.122,-3.91,-2.86,-0.94
2.132,-1.91,-1.00,-0.88
2.139,-0.18,0.46,-0.74
2.150,1.19,1.59,-0.37
2.156,1.20,1.59,-0.44
2.165,2.09,2.05,0.06
2.173,2.40,2.13,0.58
2.182,2.35,2.10,1.07
2.192,2.22,1.77,1.36
2.199,1.92,1.39,1.54
2.208,1.88,1.38,1.47
2.215,1.61,0.98,1.65
2.227,1.41,0.48,1.68
2.233,0.84,0.02,1.34
2.240,-0.12,-0.22,1.11
2.249,-0.87,-0.34,1.33
2.257,-0.92,-0.35,1.25
2.266,-1.51,-0.40,1.42
2.274,-1.85,-0.31,1.08
2.282,-1.72,0.27,0.81
2.291,-1.39,0.65,0.43
2.299,-1.10,0.93,0.32
2.307,-1.10,0.91,0.19
2.316,-0.70,0.95,0.32
2.324,-0.38,0.80,0.44
2.332,0.01,0.50,0.42
2.341,-0.16,0.14,0.28
2.349,-0.01,-0.25,-0.40
2.364,0.17,-0.60,-1.83
2.366,0.15,-0.63,-1.96
2.374,0.44,-0.90,-3.70
2.382,0.74,-1.11,-5.09
2.392,0.62,-1.42,-6.05
2.401,0.27,-1.96,-6.18
2.410,-0.15,-2.53,-5.49
2.417,-0.21,-2.55,-5.51
2.425,-0.74,-2.98,-4.58
2.434,-1.37,-3.21,-4.11
2.442,-1.90,-3.50,-4.11
2.450,-2.41,-3.49,-4.91
2.459,-2.81,-3.28,-6.08
2.466,-2.83,-3.28,-6.06
2.476,-2.93,-3.00,-7.47
2.484,-2.82,-2.84,-8.17
2.492,-2.50,-2.94,-8.08
2.500,-1.78,-3.36,-6.90
2.509,-0.93,-3.89,-5.46
2.517,-0.92,-3.85,-5.29
2.526,0.26,-4.43,-4.08
2.535,0.98,-5.06,-2.96
2.542,1.51,-5.21,-1.38
2.551,1.97,-4.82,-0.16
2.559,2.08,-3.93,0.91
2.568,2.13,-3.89,1.14
2.576,1.91,-3.00,2.15
2.584,1.54,-2.37,3.20
